comment_id,raw_text,selection_strategy,rule_STANDARDIZATION,rule_STANDARDIZATION_conf,emb_STANDARDIZATION_score,weak_STANDARDIZATION,rule_PSEUDO_INDIVIDUALIZATION,rule_PSEUDO_INDIVIDUALIZATION_conf,emb_PSEUDO_INDIVIDUALIZATION_score,weak_PSEUDO_INDIVIDUALIZATION,rule_COMMODIFICATION_MARKET_LOGIC,rule_COMMODIFICATION_MARKET_LOGIC_conf,emb_COMMODIFICATION_MARKET_LOGIC_score,weak_COMMODIFICATION_MARKET_LOGIC,rule_REGRESSIVE_LISTENING,rule_REGRESSIVE_LISTENING_conf,emb_REGRESSIVE_LISTENING_score,weak_REGRESSIVE_LISTENING,rule_AFFECTIVE_PREPACKAGING,rule_AFFECTIVE_PREPACKAGING_conf,emb_AFFECTIVE_PREPACKAGING_score,weak_AFFECTIVE_PREPACKAGING,rule_FORMAL_RESISTANCE,rule_FORMAL_RESISTANCE_conf,emb_FORMAL_RESISTANCE_score,weak_FORMAL_RESISTANCE,human_STANDARDIZATION,human_PSEUDO_INDIVIDUALIZATION,human_COMMODIFICATION_MARKET_LOGIC,human_REGRESSIVE_LISTENING,human_AFFECTIVE_PREPACKAGING,human_FORMAL_RESISTANCE,annotator_notes
UgxccWOpZ2W-BhYHxBh4AaABAg.A7IBAp_G_-lAHVFsjuMU-b,Is real a music,disagreement,False,0.0,0.5689594745635986,False,False,0.0,0.5178576111793518,False,False,0.0,0.49884214997291565,False,False,0.0,0.5244821906089783,False,False,0.0,0.468903124332428,False,False,0.0,0.519642174243927,False,,,,,,,
UgxccWOpZ2W-BhYHxBh4AaABAg.A7IBAp_G_-lA7IvT81E5wb,All music is real.,disagreement,False,0.0,0.5259045362472534,False,False,0.0,0.5250602960586548,False,False,0.0,0.49979326128959656,False,False,0.0,0.5256832838058472,False,False,0.0,0.4509287476539612,False,False,0.0,0.5371160507202148,False,,,,,,,
UgwZnO4ibx3W7IqWtvh4AaABAg.A7HwjnphvneACYyca1TjZ9,He cooked hard on this song,entropy,False,0.0,0.39267951250076294,False,False,0.0,0.2933114171028137,False,False,0.0,0.3164597153663635,False,False,0.0,0.33116012811660767,False,False,0.0,0.3583042025566101,False,False,0.0,0.3885565400123596,False,,,,,,,
Ugw6ESWiQZsJYNufxu14AaABAg.A7BOSIVPTEdAIfjZByJjcO,No p pop z😊,near_threshold,False,0.0,0.35143256187438965,False,False,0.0,0.232962965965271,False,False,0.0,0.24233463406562805,False,False,0.0,0.17058807611465454,False,False,0.0,0.2209564447402954,False,False,0.0,0.3664627969264984,False,,,,,,,
UgynJzxwUyAYO0rB-xV4AaABAg.A7XM2Kfk3pvAFJAGWuBSSL,Artists ❤,near_threshold,False,0.0,0.41854965686798096,False,False,0.0,0.49920570850372314,False,False,0.0,0.41716861724853516,False,False,0.0,0.5124427080154419,False,False,0.0,0.39203301072120667,False,False,0.0,0.47858572006225586,False,,,,,,,
UgynJzxwUyAYO0rB-xV4AaABAg.A7XM2Kfk3pvAFMckHMSKOF,"those random collabs were iconic, but sometimes it felt like clout over quality. Today’s music is more about intentional artistry.",disagreement,False,0.0,0.4876435399055481,False,False,0.0,0.5463413596153259,False,False,0.0,0.5047332644462585,False,False,0.0,0.48526158928871155,False,False,0.0,0.484939306974411,False,False,0.0,0.5233703851699829,False,,,,,,,
UgygDfMFclz43UwTET94AaABAg.A8WcBgRc6fSAANqi1cDVX0,I thought this song was way older too!,entropy,False,0.0,0.43318256735801697,False,False,0.0,0.3177669942378998,False,False,0.0,0.3550511300563812,False,False,0.0,0.36849361658096313,False,False,0.0,0.31185898184776306,False,False,0.0,0.37628495693206787,False,,,,,,,
UgzrSKWBOcQKI5uQC5t4AaABAg.A9TWnIDpmUtA9WMBvQRg3J, @kinDucklett  I usually like much older music but this is one of the best songs released in years in my opinion.,entropy,False,0.0,0.4426794648170471,False,False,0.0,0.323625773191452,False,False,0.0,0.3279508054256439,False,False,0.0,0.3969567120075226,False,False,0.0,0.30855971574783325,False,False,0.0,0.3967001438140869,False,,,,,,,
UgxW4wgf4YdnD0gsaLN4AaABAg,Legendary artists coming together 😭😭,near_threshold,False,0.0,0.3877982497215271,False,False,0.0,0.486512690782547,False,False,0.0,0.39535826444625854,False,False,0.0,0.3814018964767456,False,False,0.0,0.27291232347488403,False,False,0.0,0.45357638597488403,False,,,,,,,
UgyVyK_cCUbACedPJBt4AaABAg.A7EtmQ03rSFAG6rBUZMnFO,There are dozens of amazing pop artists. Why does everyone wanna put other artists down to uplift the ones they like?,near_threshold,False,0.0,0.5333282947540283,False,False,0.0,0.5671864748001099,False,False,0.0,0.49737223982810974,False,False,0.0,0.4887222349643707,False,False,0.0,0.34020981192588806,False,False,0.0,0.5545811653137207,False,,,,,,,
